LU0389812933,EUR,fund,ft,124.91
LU1050470373,EUR,fund,ft,106.66
LU0836513266,EUR,fund,ft,113.71
LU1050469367,EUR,fund,ft,114.06
LU1373035580,EUR,fund,ft,111.26
LU0128530416,USD,fund,ft,35.09
LU0836513852,USD,fund,ft,89.25
ES0116418007,EUR,fund,ft,18.18
LU0996182563,EUR,fund,ft,371.22
LU0140363697,EUR,fund,ft,40.2
LU0554840230,EUR,fund,ft,463.05
LU0836513001,USD,fund,ft,490.51
LU0836513183,USD,fund,ft,193.87
LU0996177134,EUR,fund,ft,217.68
LU1328852659,EUR,fund,ft,137.44
LU0211333025,EUR,fund,ft,32.23
LU0094557526,EUR,fund,ft,55.61
LU0836512706,EUR,fund,ft,290.16
LU0836512888,USD,fund,ft,277.33
LU0171289571,EUR,fund,qf,64.52
N5138,EUR,plan,qf,23.893446
N3897,EUR,plan,qf,24.468405
N2247,EUR,plan,qf,139.409369
DBPD:GER,EUR,fund,ft,0.582
HKDE,AEX:EUR,fund,ft,15.74
CETHFP,PAR:EUR,fund,ft,55.32
IB1T,PAR:EUR,fund,ft,6.01
DBPK:GER,EUR,fund,ft,0.1777
