LU0389812933,EUR,fund,ft,125.49
LU1050470373,EUR,fund,ft,106.9
LU0836513266,EUR,fund,ft,113.99
LU1050469367,EUR,fund,ft,114.67
LU1373035580,EUR,fund,ft,110.66
LU0128530416,USD,fund,ft,33.05
LU0836513852,USD,fund,ft,89.87
ES0116418007,EUR,fund,ft,17.11
LU0996182563,EUR,fund,ft,363.95
LU0140363697,EUR,fund,ft,42.21
LU0554840230,EUR,fund,ft,493.27
LU0836513001,USD,fund,ft,499.19
LU0836513183,USD,fund,ft,178.85
LU0996177134,EUR,fund,ft,194.54
LU1328852659,EUR,fund,ft,130.55
LU0211333025,EUR,fund,ft,31.98
LU0094557526,EUR,fund,ft,54.55
LU0836512706,EUR,fund,ft,280.54
LU0836512888,USD,fund,ft,253.32
LU0171289571,EUR,fund,qf,57.05
N5138,EUR,plan,qf,23.051446
N3897,EUR,plan,qf,23.656283
N2247,EUR,plan,qf,135.756741
DBPD:GER,EUR,fund,ft,0.521
HKDE,AEX:EUR,fund,ft,14.67
CETHFP,PAR:EUR,fund,ft,114.53
IB1T,PAR:EUR,fund,ft,10.22
