LU0389812933,EUR,fund,ft,126.43
LU1050470373,EUR,fund,ft,108.58
LU0836513266,EUR,fund,ft,115.73
LU1050469367,EUR,fund,ft,116.06
LU1373035580,EUR,fund,ft,114.79
LU0128530416,USD,fund,ft,36.54
LU0836513852,USD,fund,ft,91.38
ES0116418007,EUR,fund,ft,18.2
LU0996182563,EUR,fund,ft,380.64
LU0140363697,EUR,fund,ft,40.36
LU0554840230,EUR,fund,ft,473.43
LU0836513001,USD,fund,ft,511.92
LU0836513183,USD,fund,ft,205.98
LU0996177134,EUR,fund,ft,223.65
LU1328852659,EUR,fund,ft,140.24
LU0211333025,EUR,fund,ft,34.79
LU0094557526,EUR,fund,ft,58.79
LU0836512706,EUR,fund,ft,311.15
LU0836512888,USD,fund,ft,298.4
LU0171289571,EUR,fund,qf,66.61
N5138,EUR,plan,qf,24.422834
N3897,EUR,plan,qf,24.781081
N2247,EUR,plan,qf,138.262946
DBPD:GER,EUR,fund,ft,0.4947
HKDE,AEX:EUR,fund,ft,16.09
CETHFP,PAR:EUR,fund,ft,50.58
IB1T,PAR:EUR,fund,ft,5.68
DBPK:GER,EUR,fund,ft,0.1602
