LU0389812933,EUR,fund,ft,125.77
LU1050470373,EUR,fund,ft,107.04
LU0836513266,EUR,fund,ft,114.14
LU1050469367,EUR,fund,ft,114.61
LU1373035580,EUR,fund,ft,109.87
LU0128530416,USD,fund,ft,32.63
LU0836513852,USD,fund,ft,90.15
ES0116418007,EUR,fund,ft,16.59
LU0996182563,EUR,fund,ft,353.92
LU0140363697,EUR,fund,ft,40.51
LU0554840230,EUR,fund,ft,494.67
LU0836513001,USD,fund,ft,483.38
LU0836513183,USD,fund,ft,169.1
LU0996177134,EUR,fund,ft,184.44
LU1328852659,EUR,fund,ft,129.54
LU0211333025,EUR,fund,ft,31.53
LU0094557526,EUR,fund,ft,53.26
LU0836512706,EUR,fund,ft,272.81
LU0836512888,USD,fund,ft,253.95
LU0171289571,EUR,fund,qf,54.55
N5138,EUR,plan,qf,22.430547
N3897,EUR,plan,qf,23.095387
N2247,EUR,plan,qf,132.094021
DBPD:GER,EUR,fund,ft,0.5533
HKDE,AEX:EUR,fund,ft,14.65
CETHFP,PAR:EUR,fund,ft,109.85
IB1T,PAR:EUR,fund,ft,9.48
