LU0389812933,EUR,fund,ft,125.96
LU1050470373,EUR,fund,ft,107.59
LU0836513266,EUR,fund,ft,114.7
LU1050469367,EUR,fund,ft,114.73
LU1373035580,EUR,fund,ft,111.88
LU0128530416,USD,fund,ft,33.79
LU0836513852,USD,fund,ft,89.57
ES0116418007,EUR,fund,ft,17.83
LU0996182563,EUR,fund,ft,369.64
LU0140363697,EUR,fund,ft,42.26
LU0554840230,EUR,fund,ft,495.68
LU0836513001,USD,fund,ft,496.11
LU0836513183,USD,fund,ft,180.37
LU0996177134,EUR,fund,ft,200.06
LU1328852659,EUR,fund,ft,131.77
LU0211333025,EUR,fund,ft,31.82
LU0094557526,EUR,fund,ft,54.26
LU0836512706,EUR,fund,ft,279.31
LU0836512888,USD,fund,ft,262.77
LU0171289571,EUR,fund,qf,59.43
N5138,EUR,plan,qf,23.422279
N3897,EUR,plan,qf,24.327612
N2247,EUR,plan,qf,141.401181
DBPD:GER,EUR,fund,ft,0.5414
HKDE,AEX:EUR,fund,ft,15.55
CETHFP,PAR:EUR,fund,ft,96.72
IB1T,PAR:EUR,fund,ft,9.09
