LU0389812933,EUR,fund,ft,125.45
LU1050470373,EUR,fund,ft,107.21
LU0836513266,EUR,fund,ft,114.33
LU1050469367,EUR,fund,ft,114.86
LU1373035580,EUR,fund,ft,112.67
LU0128530416,USD,fund,ft,35.05
LU0836513852,USD,fund,ft,89.71
ES0116418007,EUR,fund,ft,18.22
LU0996182563,EUR,fund,ft,380.84
LU0140363697,EUR,fund,ft,41.85
LU0554840230,EUR,fund,ft,500.82
LU0836513001,USD,fund,ft,514.18
LU0836513183,USD,fund,ft,190.07
LU0996177134,EUR,fund,ft,211.18
LU1328852659,EUR,fund,ft,132.36
LU0211333025,EUR,fund,ft,33.94
LU0094557526,EUR,fund,ft,57.0
LU0836512706,EUR,fund,ft,298.09
LU0836512888,USD,fund,ft,269.01
LU0171289571,EUR,fund,qf,59.23
N5138,EUR,plan,qf,24.282091
N3897,EUR,plan,qf,24.623865
N2247,EUR,plan,qf,140.058129
DBPD:GER,EUR,fund,ft,0.492
HKDE,AEX:EUR,fund,ft,15.75
CETHFP,PAR:EUR,fund,ft,79.79
IB1T,PAR:EUR,fund,ft,7.74
DBPK:GER,EUR,fund,ft,0.1597
