LU0389812933,EUR,fund,ft,126.17
LU1050470373,EUR,fund,ft,107.77
LU0836513266,EUR,fund,ft,114.95
LU1050469367,EUR,fund,ft,115.16
LU1373035580,EUR,fund,ft,111.97
LU0128530416,USD,fund,ft,33.49
LU0836513852,USD,fund,ft,89.4
ES0116418007,EUR,fund,ft,17.84
LU0996182563,EUR,fund,ft,374.38
LU0140363697,EUR,fund,ft,43.37
LU0554840230,EUR,fund,ft,511.48
LU0836513001,USD,fund,ft,505.39
LU0836513183,USD,fund,ft,181.93
LU0996177134,EUR,fund,ft,205.12
LU1328852659,EUR,fund,ft,131.2
LU0211333025,EUR,fund,ft,31.9
LU0094557526,EUR,fund,ft,54.42
LU0836512706,EUR,fund,ft,281.53
LU0836512888,USD,fund,ft,263.36
LU0171289571,EUR,fund,qf,58.77
N5138,EUR,plan,qf,23.775
N3897,EUR,plan,qf,24.320372
N2247,EUR,plan,qf,141.676276
DBPD:GER,EUR,fund,ft,0.549
HKDE,AEX:EUR,fund,ft,14.43
CETHFP,PAR:EUR,fund,ft,96.72
IB1T,PAR:EUR,fund,ft,9.09
